user_id,session_id,session_length,unique_artists,session_start_hour,cluster_id,persona
current_user,0,10,8,12,2,Exploration Mode
current_user,1,6,6,4,0,Exploration Mode
current_user,2,44,31,11,1,Exploration Mode
